City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kloulklubed,7.0419,134.2556,31.28,81,53,5.4,PW,1696133915
1,dzuunmod,48.2199,97.3744,8.73,29,100,1.13,MN,1696133916
2,edinburgh of the seven seas,-37.0676,-12.3116,10.13,69,92,13.79,SH,1696133602
3,chingirlau,51.095,54.0814,11.66,71,22,3.79,KZ,1696133916
4,waitangi,-43.9535,-176.5597,11.01,79,22,5.81,NZ,1696133583
5,port alfred,-33.5906,26.891,11.21,87,56,0.89,ZA,1696133640
6,berdigestyakh,62.0989,126.6992,9.52,46,49,3.12,RU,1696133917
7,batang,-6.4846,110.7083,30.43,53,24,5.2,ID,1696133624
8,whitehorse,60.7161,-135.0538,6.84,72,100,6.69,CA,1696133595
9,hassi messaoud,31.6804,6.0729,21.92,64,0,4.12,DZ,1696133917
10,aasiaat,68.7098,-52.8699,-7.59,85,14,4.16,GL,1696133603
11,tiksi,71.6872,128.8694,-3.02,78,94,2.24,RU,1696133609
12,kavaratti,10.5669,72.642,28.29,77,100,7.77,IN,1696133628
13,port-aux-francais,-49.35,70.2167,6.56,93,100,17.87,TF,1696133579
14,richland,40.7834,-82.5499,15.94,91,0,0.0,US,1696133918
15,gateway,26.5776,-81.7504,24.99,97,0,3.09,US,1696133865
16,vila franca do campo,37.7167,-25.4333,20.49,99,100,3.76,PT,1696133591
17,jamestown,42.097,-79.2353,15.01,100,75,0.0,US,1696133580
18,udachny,66.4167,112.4,1.36,92,100,4.42,RU,1696133606
19,grytviken,-54.2811,-36.5092,2.5,70,9,5.24,GS,1696133592
20,ushuaia,-54.8,-68.3,4.81,70,0,2.57,AR,1696133602
21,enewetak,11.3474,162.3373,28.87,77,65,5.25,MH,1696133619
22,vilyuchinsk,52.9306,158.4028,13.15,57,60,2.07,RU,1696133539
23,twentynine palms,34.1356,-116.0542,17.08,49,1,1.79,US,1696133920
24,georgetown,5.4112,100.3354,32.75,70,20,2.57,MY,1696133468
25,cabo san lucas,22.8909,-109.9124,29.61,74,31,2.68,MX,1696133382
26,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,62,20,5.0,RU,1696133640
27,kununurra,-15.7667,128.7333,36.99,30,40,5.66,AU,1696133921
28,puerto natales,-51.7236,-72.4875,0.86,84,26,2.22,CL,1696133582
29,adamstown,-25.066,-130.1015,20.63,88,100,11.12,PN,1696133581
30,bethel,41.3712,-73.414,15.36,89,31,0.45,US,1696133565
31,thompson,55.7435,-97.8558,1.09,100,75,1.03,CA,1696133600
32,hithadhoo,-0.6,73.0833,27.86,76,100,7.97,MV,1696133594
33,ixtapa,20.7,-105.2,27.35,83,75,4.12,MX,1696133922
34,blackmans bay,-43.0167,147.3167,16.07,51,49,7.19,AU,1696133604
35,port lincoln,-34.7333,135.8667,17.76,54,0,3.56,AU,1696133598
36,bilibino,68.0546,166.4372,-4.81,90,99,1.86,RU,1696133587
37,kuanda,56.3161,116.0806,12.66,44,36,0.72,RU,1696133923
38,lerwick,60.1545,-1.1494,12.0,87,46,8.29,GB,1696133581
39,sao vicente,-23.9631,-46.3919,24.1,26,98,1.27,BR,1696133923
40,murghob,38.1702,73.9667,2.26,37,1,1.4,TJ,1696133924
41,utrik,11.2278,169.8474,27.02,82,100,3.92,MH,1696133594
42,jayapura,-2.5333,140.7,28.66,77,100,1.55,ID,1696133924
43,lebu,-37.6167,-73.65,9.55,92,100,3.26,CL,1696133604
44,iqaluit,63.7506,-68.5145,1.85,100,100,1.54,CA,1696133598
45,marovoay,-16.1,46.6333,24.2,69,10,1.77,MG,1696133925
46,nefteyugansk,61.0998,72.6035,2.63,63,84,7.04,RU,1696133767
47,college,64.8569,-147.8028,5.6,64,75,2.57,US,1696133584
48,port elizabeth,-33.918,25.5701,12.4,83,0,4.12,ZA,1696133586
49,fale old settlement,-9.3852,-171.2468,28.71,70,97,1.92,TK,1696133642
50,arjona,10.2544,-75.3439,28.59,92,83,1.25,CO,1696133926
51,yeppoon,-23.1333,150.7333,27.88,54,15,5.24,AU,1696133926
52,palikir - national government center,6.9248,158.1611,29.41,84,100,5.14,FM,1696133634
53,new norfolk,-42.7826,147.0587,16.72,70,58,5.88,AU,1696133616
54,shevchenko,48.5,35.0,16.11,48,0,1.45,UA,1696133926
55,lhuentse,27.6679,91.1839,23.33,82,96,0.44,BT,1696133927
56,dikwa,12.024,13.9165,25.69,78,97,2.18,NG,1696133927
57,nuku'alofa,-21.1333,-175.2,24.19,53,20,4.12,TO,1696133927
58,wailua homesteads,22.0669,-159.378,28.24,80,75,6.17,US,1696133608
59,bulungu,-4.55,18.6,21.77,96,98,1.22,CD,1696133927
60,atafu village,-8.5421,-172.5159,28.91,67,51,2.81,TK,1696133627
61,rock falls,41.7798,-89.689,21.32,81,0,2.57,US,1696133928
62,thunder bay,48.4001,-89.3168,15.99,94,100,4.12,CA,1696133647
63,olonkinbyen,70.9221,-8.7187,0.67,64,100,1.77,SJ,1696133586
64,ribeira grande,38.5167,-28.7,17.65,85,74,4.02,PT,1696133580
65,princeville,45.7668,-61.2985,12.95,98,87,0.84,CA,1696133929
66,san clemente del tuyu,-36.3569,-56.7235,7.77,83,14,5.13,AR,1696133690
67,sitka,57.0531,-135.33,9.94,76,100,7.2,US,1696133644
68,hilo,19.7297,-155.09,26.85,82,75,2.57,US,1696133520
69,henderson,36.0397,-114.9819,21.69,42,75,8.23,US,1696133703
70,pandan,14.0453,124.1694,29.2,77,100,4.18,PH,1696133930
71,machico,32.7,-16.7667,23.17,81,20,0.51,PT,1696133930
72,pisco,-13.7,-76.2167,18.03,88,0,5.14,PE,1696133684
73,el nido,11.1858,119.3956,28.94,78,94,5.93,PH,1696133930
74,nishinoomote,30.7333,131.0,28.31,78,75,3.6,JP,1696133931
75,flin flon,54.7682,-101.865,7.31,71,100,1.3,CA,1696133656
76,seydi,39.4816,62.9137,19.26,32,39,1.73,TM,1696133931
77,kidal,18.4411,1.4078,30.78,25,10,2.41,ML,1696133627
78,yellowknife,62.456,-114.3525,6.29,75,75,3.6,CA,1696133588
79,dudinka,69.4058,86.1778,-6.32,91,17,2.89,RU,1696133678
80,invercargill,-46.4,168.35,13.9,76,96,1.34,NZ,1696133587
81,kapa'a,22.0752,-159.319,28.99,80,75,6.17,US,1696133677
82,hawaiian paradise park,19.5933,-154.9731,26.73,84,75,2.57,US,1696133595
83,luganville,-15.5333,167.1667,25.37,66,85,7.07,VU,1696133932
84,qaqortoq,60.7167,-46.0333,2.65,81,80,0.41,GL,1696133622
85,phalodi,27.1333,72.3667,32.33,21,1,4.37,IN,1696133933
86,bodo,67.28,14.405,9.02,94,75,10.8,NO,1696133673
87,lospalos,-8.5186,127.0025,29.23,52,20,4.76,TL,1696133933
88,bridgewater,44.3835,-64.5155,14.79,96,76,2.06,CA,1696133904
89,kruisfontein,-34.0033,24.7314,11.05,84,3,3.68,ZA,1696133602
90,frolovo,49.7713,43.6622,12.9,56,12,2.99,RU,1696133933
91,trudovoye,43.3058,132.0817,17.85,48,75,4.0,RU,1696133934
92,vryburg,-26.9566,24.7284,10.23,46,0,3.9,ZA,1696133934
93,kani keli,-12.9536,45.1033,25.59,74,9,0.95,YT,1696133934
94,lorengau,-2.0226,147.2712,29.51,71,30,3.88,PG,1696133934
95,kiama,-34.6833,150.8667,35.21,21,37,6.71,AU,1696133935
96,papatowai,-46.5619,169.4708,13.19,76,97,6.43,NZ,1696133586
97,barcelos,41.5388,-8.6151,23.29,62,73,1.08,PT,1696133707
98,bardai,11.65,7.2333,22.1,86,94,2.51,NG,1696133935
99,makurazaki,31.2667,130.3167,25.62,64,64,6.77,JP,1696133935
100,namibe,-15.1961,12.1522,17.0,85,6,2.56,AO,1696133652
101,mount pearl,47.5166,-52.7813,10.19,95,0,5.14,CA,1696133585
102,el tigre,8.8875,-64.2454,27.01,66,93,1.97,VE,1696133936
103,ancud,-41.8697,-73.8203,7.59,84,100,2.91,CL,1696133600
104,nasiriyah,31.0521,46.261,28.98,24,0,2.88,IQ,1696133936
105,bazarnyye mataki,54.8833,49.9333,9.82,73,41,4.28,RU,1696133937
106,lodwar,3.1191,35.5973,27.22,48,59,8.16,KE,1696133937
107,agadez,19.75,10.25,26.51,40,95,2.72,NE,1696133937
108,conde,-7.2597,-34.9075,22.7,94,40,3.6,BR,1696133937
109,manay,7.215,126.5397,31.05,67,100,6.6,PH,1696133937
110,hermanus,-34.4187,19.2345,11.54,74,1,3.83,ZA,1696133583
111,bathurst,-33.4166,149.5806,31.09,20,3,1.34,AU,1696133938
112,la'ie,21.6477,-157.9253,27.98,77,2,0.89,US,1696133625
113,hamilton,39.1834,-84.5333,19.66,89,0,1.54,US,1696133384
114,geraldton,-28.7667,114.6,23.23,53,75,5.66,AU,1696133613
115,tartu,58.3806,26.7251,11.14,87,10,5.14,EE,1696133939
116,bredasdorp,-34.5322,20.0403,9.33,74,23,1.17,ZA,1696133585
117,puerto baquerizo moreno,-0.9,-89.6,22.66,85,99,4.41,EC,1696133582
118,ust-nera,64.5667,143.2,3.16,43,40,3.25,RU,1696133592
119,punta arenas,-53.15,-70.9167,3.06,75,0,5.66,CL,1696133511
120,padang,-0.9492,100.3543,29.03,73,57,2.69,ID,1696133679
121,priozersk,61.0393,30.1291,12.84,84,78,4.98,RU,1696133940
122,anadyr,64.75,177.4833,2.78,60,20,7.0,RU,1696133599
123,naze,28.3667,129.4833,29.51,73,30,4.9,JP,1696133637
124,ilulissat,69.2167,-51.1,-1.99,59,7,3.09,GL,1696133581
125,constantia,44.1833,28.65,18.38,50,70,5.88,RO,1696133418
126,tralee,52.2704,-9.7026,13.51,95,71,3.12,IE,1696133941
127,antonio enes,-16.2325,39.9086,22.31,82,7,3.83,MZ,1696133941
128,prince albert,53.2001,-105.7677,7.97,93,100,3.6,CA,1696133941
129,keflavik,64.0049,-22.5624,10.95,76,100,7.72,IS,1696133610
130,ola,59.5833,151.2833,8.97,79,100,0.82,RU,1696133587
131,blantyre,-15.785,35.0085,21.42,44,39,2.45,MW,1696133942
132,port moresby,-9.4431,147.1797,31.68,62,75,7.72,PG,1696133942
133,xining,36.6167,101.7667,12.74,80,100,0.16,CN,1696133665
134,mhamid,29.82,-5.72,25.06,23,9,2.87,MA,1696133943
135,ar ruways,24.1103,52.7306,31.87,56,0,3.71,AE,1696133684
136,klyuchi,52.2667,79.1667,10.31,76,95,3.51,RU,1696133638
137,deir ez-zor,35.3359,40.1408,23.68,64,100,4.37,SY,1696133841
138,sur,22.5667,59.5289,31.24,52,3,3.09,OM,1696133660
139,susanville,40.4163,-120.653,9.26,84,100,5.14,US,1696133749
140,west island,-12.1568,96.8225,26.99,69,75,8.75,CC,1696133612
141,kodiak,57.79,-152.4072,8.73,100,100,1.54,US,1696133589
142,caiaponia,-16.9567,-51.8103,25.2,62,78,1.05,BR,1696133944
143,lata,40.1629,-8.3327,17.26,54,75,1.24,PT,1696133692
144,isafjordur,66.0755,-23.124,5.91,92,100,3.65,IS,1696133602
145,washington,47.5001,-120.5015,13.04,52,6,2.32,US,1696133866
146,tefe,-3.3542,-64.7114,27.45,66,96,1.88,BR,1696133945
147,ashburton,-37.8626,145.0794,21.21,43,23,0.89,AU,1696133945
148,nova friburgo,-22.2819,-42.5311,15.67,96,96,1.77,BR,1696133945
149,garissa,-0.4536,39.6401,24.7,77,37,6.34,KE,1696133946
150,pacific grove,36.6177,-121.9166,15.21,90,100,2.24,US,1696133946
151,eyl,7.9803,49.8164,26.56,72,51,7.43,SO,1696133946
152,kabare,-2.4683,28.8242,16.87,80,8,0.96,CD,1696133946
153,tecolots,32.5667,-114.9833,22.7,45,0,6.61,MX,1696133947
154,albany,42.6001,-73.9662,13.71,94,0,1.51,US,1696133392
155,vadso,70.0744,29.7487,7.49,87,100,6.17,NO,1696133620
156,weno,7.4515,151.8468,30.97,79,100,3.09,FM,1696133947
157,kokoda,-8.8785,147.7407,27.28,89,97,1.54,PG,1696133947
158,masterton,-40.9597,175.6575,13.27,70,32,6.46,NZ,1696133948
159,puerto ayora,-0.7393,-90.3518,23.08,94,100,3.13,EC,1696133590
160,uturoa,-16.7333,-151.4333,26.02,82,69,9.19,PF,1696133645
161,chonchi,-42.6128,-73.8092,7.84,90,100,0.9,CL,1696133625
162,road town,18.4167,-64.6167,28.05,79,47,7.4,VG,1696133948
163,maralal,1.0968,36.698,15.46,73,5,1.41,KE,1696133949
164,high river,50.5834,-113.8687,5.75,94,100,3.29,CA,1696133724
165,haiku-pauwela,20.9219,-156.3051,26.01,75,40,10.29,US,1696133673
166,vorgashor,67.5833,63.95,5.35,99,100,4.83,RU,1696133624
167,longyearbyen,78.2186,15.6401,-4.09,58,75,7.72,SJ,1696133592
168,halifax,44.6453,-63.5724,13.05,96,78,1.28,CA,1696133210
169,yuzhno-kurilsk,44.0306,145.8556,15.86,96,100,4.26,RU,1696133582
170,tura,25.5198,90.2201,27.03,87,92,1.28,IN,1696133506
171,nueva gerona,21.8833,-82.8,28.9,74,100,2.31,CU,1696133951
172,salalah,17.0151,54.0924,27.05,74,0,1.03,OM,1696133951
173,avarua,-21.2078,-159.775,26.03,89,4,5.14,CK,1696133624
174,hasaki,35.7333,140.8333,28.22,70,53,8.37,JP,1696133951
175,argo,37.6333,22.7333,19.39,58,6,1.7,GR,1696133952
176,margaret river,-33.95,115.0667,16.31,74,98,10.3,AU,1696133614
177,saint-philippe,-21.3585,55.7679,24.77,76,16,5.76,RE,1696133636
178,verkhnevilyuysk,63.4453,120.3167,10.42,66,100,4.09,RU,1696133952
179,mahanoro,-19.9,48.8,21.77,81,24,3.02,MG,1696133635
180,awjilah,29.1081,21.2869,20.64,71,89,4.21,LY,1696133617
181,cadale,2.7603,46.3222,26.27,82,4,7.7,SO,1696133953
182,tomatlan,19.9333,-105.25,26.23,94,37,0.87,MX,1696133650
183,lompoc,34.6391,-120.4579,14.77,91,40,1.54,US,1696133566
184,talnakh,69.4865,88.3972,-6.55,88,28,1.39,RU,1696133580
185,noumea,-22.2763,166.4572,25.99,61,17,7.93,NC,1696133937
186,miri,4.4148,114.0089,30.08,70,40,4.12,MY,1696133668
187,tezu,27.9167,96.1667,32.82,53,17,1.63,IN,1696133954
188,holualoa,19.6228,-155.9522,25.91,88,75,5.14,US,1696133640
189,san luis,-33.295,-66.3356,13.59,44,0,5.0,AR,1696133954
190,mkushi,-13.6202,29.3939,19.33,45,53,1.82,ZM,1696133955
191,selfoss,63.9331,-20.9971,9.47,84,100,7.91,IS,1696133590
192,brookings,44.3114,-96.7984,23.0,78,0,5.66,US,1696133955
193,cooma,-36.2333,149.1333,25.88,17,2,8.85,AU,1696133631
194,santiago de cao,-7.9589,-79.2392,19.07,88,75,3.09,PE,1696133955
195,conception bay south,47.4999,-52.9981,10.53,96,10,2.58,CA,1696133888
196,jilib,0.4883,42.7854,25.19,83,4,2.88,SO,1696133956
197,san patricio,28.017,-97.5169,29.92,72,18,5.4,US,1696133599
198,n'zeto,-7.2312,12.8666,23.41,84,98,3.14,AO,1696133956
199,usinsk,65.9939,57.5281,9.33,97,100,7.85,RU,1696133957
200,prokop'yevsk,53.9059,86.719,3.87,58,94,3.93,RU,1696133828
201,bodaybo,57.8506,114.1933,11.18,63,95,0.91,RU,1696133792
202,las khorey,11.1595,48.1967,30.59,47,7,3.31,SO,1696133649
203,port mathurin,-19.6833,63.4167,23.14,78,57,10.23,MU,1696133584
204,la seu d'urgell,42.3588,1.4614,18.73,62,0,2.37,ES,1696133957
205,lihue,21.9789,-159.3672,28.58,81,75,6.17,US,1696133646
206,afaahiti,-17.75,-149.2833,26.93,85,36,8.58,PF,1696133613
207,naryn,41.4287,75.9911,10.4,39,6,0.34,KG,1696133958
208,ketchikan,55.3422,-131.6461,9.26,93,100,2.57,US,1696133643
209,lamesa,32.7376,-101.951,23.62,45,58,4.28,US,1696133959
210,peace river,56.2501,-117.286,8.17,76,0,4.12,CA,1696133942
211,longquan,24.6719,102.1613,24.52,67,44,2.26,CN,1696133959
212,mossel bay,-34.1831,22.146,8.96,72,4,2.96,ZA,1696133959
213,zaragoza,41.6561,-0.8773,20.01,42,0,1.34,ES,1696133959
214,general villegas,-35.0328,-63.0125,9.39,46,0,3.7,AR,1696133960
215,misratah,32.3754,15.0925,23.25,68,2,2.88,LY,1696133960
216,aswan,24.0934,32.907,30.19,21,4,4.2,EG,1696133688
217,vostochnyy,55.8167,37.8667,15.06,68,56,3.27,RU,1696133960
218,tsiombe,-25.3,45.4833,23.3,57,0,1.5,MG,1696133692
219,nelson bay,-32.7167,152.15,34.03,43,38,2.24,AU,1696133640
220,tolanaro,-25.0319,46.9987,22.76,76,13,2.72,MG,1696133663
221,aksuat,48.7167,83.7,12.31,60,93,0.19,KZ,1696133961
222,herford,52.1333,8.6833,14.42,84,96,2.83,DE,1696133961
223,mandera,3.9366,41.867,25.65,62,2,4.8,KE,1696133962
224,ulysses,37.5814,-101.3552,23.53,53,20,5.66,US,1696133734
225,kyren,51.6828,102.1408,14.24,49,69,0.58,RU,1696133962
226,sao joao da barra,-21.6403,-41.0511,21.46,82,100,6.29,BR,1696133651
227,quellon,-43.1167,-73.6167,6.05,89,100,1.81,CL,1696133962
228,knyaze-volkonskoye,48.4642,135.4567,10.19,93,100,4.29,RU,1696133963
229,okhotsk,59.3833,143.3,7.38,77,100,2.95,RU,1696133963
230,hadibu,12.65,54.0333,27.24,81,99,3.27,YE,1696133696
231,gorontalo,0.5412,123.0595,32.71,50,81,4.75,ID,1696133963
232,codrington,-38.2667,141.9667,15.3,59,7,7.95,AU,1696133672
233,puerto lempira,15.2667,-83.7667,26.72,89,60,2.89,HN,1696133964
234,sinabang,2.4803,96.3801,28.59,74,29,3.23,ID,1696133964
235,januaria,-15.4833,-44.3667,25.81,56,18,4.03,BR,1696133964
236,ordynskoye,54.3656,81.8994,4.95,57,8,4.04,RU,1696133827
237,chigorodo,7.6664,-76.6811,24.73,97,100,1.36,CO,1696133964
238,laguna,38.421,-121.4238,18.0,84,100,2.57,US,1696133597
239,taroa,8.7058,171.2275,26.47,87,100,6.09,MH,1696133965
240,morrinhos,-17.7311,-49.0994,23.28,75,95,0.93,BR,1696133703
241,east london,-33.0153,27.9116,13.52,71,0,5.66,ZA,1696133615
242,smidovich,48.6,133.8167,10.95,75,100,1.39,RU,1696133965
243,hammerfest,70.6634,23.6821,6.25,100,75,3.09,NO,1696133659
244,es castell,39.8795,4.2854,20.38,100,0,1.54,ES,1696133966
245,zeerust,-25.5369,26.0751,13.79,17,0,2.7,ZA,1696133966
246,island harbour,50.724,-1.2758,18.04,93,66,0.45,GB,1696133620
247,isoka,-10.1606,32.6335,18.45,61,47,1.12,ZM,1696133967
248,zaozersk,69.4005,32.4476,7.26,94,100,4.93,RU,1696133624
249,kenai,60.5544,-151.2583,7.86,72,20,8.75,US,1696133621
250,nemuro,43.3236,145.575,16.99,93,100,4.49,JP,1696133611
251,beau vallon,-20.4189,57.6953,24.56,78,40,3.6,MU,1696133967
252,la palma,33.8464,-118.0467,18.61,85,100,2.57,US,1696133968
253,ventspils,57.3894,21.5606,14.96,82,75,5.66,LV,1696133968
254,queenstown,-31.8976,26.8753,6.53,70,34,1.84,ZA,1696133454
255,kirakira,-10.4544,161.9205,26.95,75,100,5.15,SB,1696133650
256,mugia,43.1041,-9.2179,17.17,75,83,1.73,ES,1696133969
257,lengshuitan,26.4111,111.5956,29.4,54,29,3.02,CN,1696133969
258,belmonte,-15.8631,-38.8828,22.8,85,96,3.09,BR,1696133610
259,moroto,2.5345,34.6666,20.64,62,0,2.17,UG,1696133970
260,dabou,5.3256,-4.3769,24.68,93,88,3.59,CI,1696133970
261,bubaque,11.2833,-15.8333,27.72,82,88,4.54,GW,1696133622
262,saint croix,17.7397,-64.7388,28.25,84,20,4.63,VI,1696133970
263,iskateley,67.6803,53.1512,10.66,97,100,4.53,RU,1696133593
264,harper,4.375,-7.7169,25.11,91,100,3.41,LR,1696133664
265,fort irwin,35.2627,-116.6848,15.9,63,0,5.66,US,1696133971
266,noida,28.58,77.33,29.16,27,3,1.82,IN,1696133971
267,valparaiso,-33.0393,-71.6273,11.8,100,100,0.0,CL,1696133840
268,aykhal,66.0,111.5,1.05,96,100,4.56,RU,1696133603
269,elkins,38.9259,-79.8467,14.84,98,100,0.0,US,1696133972
270,trincomalee,8.5711,81.2335,30.24,60,72,7.48,LK,1696133972
271,shimanovsk,52.0,127.7,11.52,55,47,3.46,RU,1696133837
272,kailua-kona,19.6406,-155.9956,27.98,88,75,5.14,US,1696133604
273,carutapera,-1.195,-46.02,26.18,76,28,4.35,BR,1696133972
274,khandyga,62.6667,135.6,7.38,41,13,1.08,RU,1696133538
275,bac lieu,9.285,105.7244,30.88,65,100,6.27,VN,1696133956
276,barabai,-2.5833,115.3833,37.57,23,58,0.64,ID,1696133973
277,caninde,-4.3589,-39.3117,23.67,81,55,1.4,BR,1696133918
278,gobabis,-22.45,18.9667,15.32,18,0,4.06,NA,1696133973
279,trairi,-3.2778,-39.2689,26.14,76,36,5.75,BR,1696133854
280,kingisepp,59.3733,28.6134,11.73,81,71,5.31,RU,1696133974
281,howrah,22.5892,88.3103,29.0,89,40,5.14,IN,1696133581
282,casper,42.8666,-106.3131,19.33,33,0,2.24,US,1696133964
283,tobelo,1.7284,128.0095,30.15,64,63,3.54,ID,1696133974
284,rio grande,-32.035,-52.0986,8.3,79,0,2.55,BR,1696133975
285,san carlos,9.6612,-68.5827,24.65,94,93,1.58,VE,1696133975
286,sorong,-0.8833,131.25,28.18,78,98,3.46,ID,1696133673
287,vila velha,-20.3297,-40.2925,20.97,94,100,1.54,BR,1696133627
288,paita,-5.0892,-81.1144,19.76,85,71,4.99,PE,1696133975
289,saudarkrokur,65.7461,-19.6394,5.68,71,98,1.04,IS,1696133976
290,morant bay,17.8815,-76.4093,28.79,81,10,1.07,JM,1696133976
